Row Labels,Sum of  Estimated Employed
Andhra Pradesh,165320327
Assam,116599411
Bihar,305811719
Chhattisgarh,91023582
Delhi,2075490
Goa,2018953
Gujarat,185174510
Haryana,65096893
Himachal Pradesh,26563125
Jammu & Kashmir,26804685
Jharkhand,94672916
Karnataka,177394266
Kerala,65390593
Madhya Pradesh,223789222
Maharashtra,330766220
Meghalaya,15399864
Odisha,150457642
Puducherry,1911221
Punjab,81833453
Rajasthan,211410403
Sikkim,745473
Tamil Nadu,194566697
Telangana,151002968
Tripura,14416461
Uttar Pradesh,600136002
Uttarakhand,25788593
West Bengal,333063384
Grand Total,3659234073
