Row Labels,Sum of  Estimated Labour Participation Rate (%),Sum of  Estimated Unemployment Rate (%)
Andhra Pradesh,389.62,86.64
Assam,434.98,48.56
Bihar,371.73,194.71
Chhattisgarh,411.61,78.19
Delhi,358.57,184.14
Goa,392.42,121.67
Gujarat,454.9,63.76
Haryana,421,274.77
Himachal Pradesh,402.52,160.65
Jammu & Kashmir,341.05,148.3
Jharkhand,403.56,195.39
Karnataka,420,76.68
Kerala,333.82,94.34
Madhya Pradesh,389.26,68.54
Maharashtra,414.66,79.79
Meghalaya,598.59,38.66
Odisha,377.48,64.62
Puducherry,359.18,179.42
Punjab,399.79,119.81
Rajasthan,405.91,158.68
Sikkim,366.05,78.34
Tamil Nadu,373.83,121.87
Telangana,549.72,68.33
Tripura,578.48,250.55
Uttar Pradesh,376.08,97.37
Uttarakhand,352.59,111.56
West Bengal,451.58,101.92
Grand Total,11128.98,3267.26
